dataset,W,D,n,em,f1,acc,avg_tokens,avg_rounds,avg_wall_s,wall_clock_s
2wikimultihop,1,2,100,0.28,0.3494,0.33,3651.3,1.56,43.71,589.57
2wikimultihop,1,4,100,0.27,0.3365,0.33,6671.1,2.68,71.17,960.23
2wikimultihop,1,6,100,0.27,0.3408,0.33,9830.0,3.74,107.57,1500.79
2wikimultihop,1,8,100,0.3,0.3708,0.36,11786.2,4.5,122.33,1699.8
2wikimultihop,2,2,100,0.33,0.4504,0.48,11435.8,1.59,87.81,1178.21
2wikimultihop,2,4,100,0.35,0.4834,0.5,19048.0,2.26,147.77,1998.43
2wikimultihop,2,6,100,0.3,0.4339,0.43,24815.5,2.78,188.76,2565.42
2wikimultihop,2,8,100,0.34,0.4691,0.48,27957.9,3.03,273.45,1822.76
2wikimultihop,4,2,100,0.38,0.5187,0.57,22371.1,1.59,152.49,839.43
2wikimultihop,4,4,100,0.38,0.4755,0.49,36142.1,2.22,262.98,1524.43
2wikimultihop,4,6,100,0.36,0.4803,0.53,45175.6,2.64,324.98,1969.0
2wikimultihop,4,8,100,0.4,0.4954,0.5,46151.4,2.66,315.21,1973.67
bamboogle,1,2,42,0.3571,0.4898,0.381,2434.4,1.21,27.74,172.29
bamboogle,1,4,42,0.3571,0.4803,0.4048,4031.9,1.81,49.29,347.04
bamboogle,1,6,42,0.3333,0.4472,0.3571,5274.0,2.19,60.03,413.26
bamboogle,1,8,42,0.381,0.4913,0.4048,7167.9,2.64,87.63,575.52
bamboogle,2,2,42,0.4286,0.5753,0.4762,7538.4,1.19,59.15,399.92
bamboogle,2,4,42,0.381,0.5479,0.4524,8375.7,1.31,61.72,579.22
bamboogle,2,6,42,0.381,0.5634,0.4524,11232.0,1.62,87.73,795.54
bamboogle,2,8,42,0.4048,0.5764,0.4524,11328.2,1.6,86.11,938.96
bamboogle,4,2,42,0.3571,0.5332,0.4524,13213.9,1.17,68.4,437.66
bamboogle,4,4,42,0.381,0.561,0.4286,16111.1,1.31,76.51,588.0
bamboogle,4,6,42,0.3571,0.5451,0.4524,18312.3,1.43,101.79,930.31
bamboogle,4,8,42,0.3571,0.5316,0.4048,26059.0,1.81,133.55,1087.95
hotpotqa,1,2,100,0.38,0.4758,0.44,2734.7,1.3,17.95,198.66
hotpotqa,1,4,100,0.36,0.4638,0.42,3868.6,1.72,25.63,301.18
hotpotqa,1,6,100,0.37,0.4708,0.44,5231.8,2.21,34.24,404.92
hotpotqa,1,8,100,0.37,0.4728,0.44,6342.6,2.62,40.87,532.76
hotpotqa,2,2,100,0.37,0.4651,0.43,9034.8,1.32,54.12,584.32
hotpotqa,2,4,100,0.37,0.46,0.43,13222.6,1.71,78.22,869.97
hotpotqa,2,6,100,0.38,0.4651,0.43,16323.2,1.97,94.43,1163.04
hotpotqa,2,8,100,0.37,0.4762,0.44,20434.9,2.31,146.57,1831.5
hotpotqa,4,2,100,0.36,0.458,0.44,16068.6,1.26,78.79,883.03
hotpotqa,4,4,100,0.34,0.4521,0.42,20221.2,1.46,98.4,1204.23
hotpotqa,4,6,100,0.39,0.4958,0.46,27005.7,1.75,134.87,1680.69
hotpotqa,4,8,100,0.39,0.499,0.46,32328.1,1.99,164.34,2182.07
musique,1,2,100,0.08,0.1566,0.14,3961.0,1.6,52.72,717.4
musique,1,4,100,0.1,0.1762,0.14,6954.6,2.58,82.86,1096.22
musique,1,6,100,0.08,0.1641,0.14,10523.5,3.7,121.12,1680.31
musique,1,8,100,0.08,0.1552,0.13,14438.2,4.98,167.13,2302.25
musique,2,2,100,0.11,0.1952,0.13,11863.3,1.53,101.35,1314.27
musique,2,4,100,0.13,0.2198,0.15,20616.1,2.3,166.74,2233.36
musique,2,6,100,0.15,0.2437,0.18,26072.7,2.75,205.51,2829.14
musique,2,8,100,0.13,0.2229,0.14,31510.4,3.22,317.61,1938.76
musique,4,2,100,0.1,0.2082,0.15,18396.8,1.33,141.02,826.33
musique,4,4,100,0.12,0.2441,0.16,29467.0,1.83,224.64,1279.66
musique,4,6,100,0.13,0.2455,0.16,34392.0,2.06,275.22,1728.39
musique,4,8,100,0.13,0.2506,0.19,40798.8,2.36,299.89,1860.31
